"id","bathrooms","heating","macrozone","microzone","price_n","rooms_n","price_sqm","surface_room","geometry","time_to_nearest_metro_mins","time_to_nearest_tram_mins","min_time_to_uni_mins"
126916759,"1","Autonomo","Napoli, Soderini","Tripoli - Soderini",550,4,6.25,17.6,c(9.14926, 45.4545),2.02604301911632,5.71499051507175,89.6
126915597,"1","Autonomo","Bande Nere, Inganni","Gambara",455,4,6.40845070422535,14.2,c(9.14258, 45.463),3.35922459101249,11.1936879660167,76.6
127012713,"1","Autonomo","Bande Nere, Inganni","Gambara",555,4,7.5,14.8,c(9.14434, 45.4623),4.81005714527675,10.5401264919321,77.5
126916655,"2","Autonomo","Abbiategrasso, Chiesa Rossa","Chiesa Rossa",585,5,5.31818181818182,17.6,c(9.17859, 45.427),5.44803741673785,1.6445845234532,112.1
126917005,"2","Autonomo","Solari, Washington","Dezza",560,5,6.15384615384615,14.56,c(9.15941, 45.4591),2.78954556034948,5.96000077453947,83.1
126917305,"1","Autonomo","Precotto, Turro","Villa San Giovanni",490,4,6.53333333333333,15,c(9.22341, 45.5172),3.3207524346945,6.17023454260475,63.2
126916801,"1","Autonomo","Uptown, Cascina Merlata, Viale Certosa","Certosa",585,5,6.5,14.4,c(9.15015, 45.4893),13.8484716271245,2.25487621838345,31.8
126916387,"2","Autonomo","Città Studi, Susa","Città Studi",495,5,33,15,c(9.22085, 45.4753),11.0240482163558,0.623388393711188,9.5
126984919,"2","Autonomo","Cenisio, Sarpi, Isola","Zara",560,5,5.89473684210526,15.2,c(9.18968, 45.4956),6.42215376088594,5.27616997439537,43.8
126916857,"2","Autonomo","San Siro, Trenno","Gallaratese",585,5,7.40506329113924,12.64,c(9.12694, 45.4944),8.19768025900694,9.97884445392558,43
126938219,"1","Autonomo","Uptown, Cascina Merlata, Viale Certosa","Certosa",525,5,5.83333333333333,14.4,c(9.15015, 45.4893),13.8484716271245,2.25487621838345,31.8
126917233,"2","Autonomo","Affori, Bovisa","Bovisasca",575,5,6.11702127659574,15.04,c(9.15399, 45.5171),19.1005724188004,25.9731381251268,33.2
126917191,"1","Autonomo","Bande Nere, Inganni","Lorenteggio",535,4,7.32876712328767,14.6,c(9.14075, 45.4519),2.02130997432749,6.05618836103308,95.3
126917047,"2","Autonomo","Abbiategrasso, Chiesa Rossa","Chiesa Rossa",580,5,5.27272727272727,17.6,c(9.17859, 45.427),5.44803741673785,1.6445845234532,112.1
126916141,"1","Autonomo","Affori, Bovisa","Affori",520,3,9.45454545454546,14.6666666666667,c(9.17351, 45.5174),6.71421382650752,22.313849979964,38.8
126917185,"3","Autonomo","Abbiategrasso, Chiesa Rossa","Chiesa Rossa",580,5,38.6666666666667,15,c(9.18433, 45.4326),9.65491973547738,1.58410983476799,98.4
126916221,"1","Autonomo","Bande Nere, Inganni","Bande Nere",505,4,7.21428571428571,14,c(9.13388, 45.4628),3.85178972349815,19.2206794980747,79
126915721,"1","Autonomo","Napoli, Soderini","Piazza Napoli",470,4,5.46511627906977,17.2,c(9.15297, 45.4507),7.92009700540196,2.57261520714271,95.8
126915715,"1","Autonomo","Centrale, Repubblica","Repubblica",455,3,30.3333333333333,15,c(9.20206, 45.4793),5.02770063921006,1.33603009989529,32.3
103313562,"2","Assente","Pasteur, Rovereto","Rovereto",500,4,25,20,c(9.2177, 45.496),2.32215799327103,2.72075060081993,32.2
126916831,"2","Autonomo","Bicocca, Niguarda","Ca' Granda",580,3,38.6666666666667,15,c(9.20256, 45.5058),3.05497278128588,2.55286140090128,58.3
126916773,"1","Autonomo","Uptown, Cascina Merlata, Viale Certosa","Musocco",580,4,7.07317073170732,16.4,c(9.12875, 45.5036),19.7729118117278,4.77782088681054,39.2
126917429,"1","Autonomo","Bande Nere, Inganni","Lorenteggio",540,5,7.3972602739726,11.68,c(9.1396, 45.4526),3.64720129981479,7.85406220826184,94.6
126916543,"1","Autonomo","Bande Nere, Inganni","Inganni",460,4,6.96969696969697,13.2,c(9.11907, 45.4565),4.27731223985161,24.5338104584336,97.8
126916401,"2","Autonomo","Pasteur, Rovereto","Pasteur",525,5,35,15,c(9.21404, 45.4874),4.32157164493509,2.10216373883025,21.4
127541894,"1","Autonomo","Bande Nere, Inganni","Lorenteggio",400,4,6.34920634920635,12.6,c(9.13914, 45.4523),4.05243613343563,7.80962944361716,95.2
127274939,"2","Autonomo","Centrale, Repubblica","Centrale",545,4,36.3333333333333,15,c(9.20984, 45.4889),6.25293725282935,3.68242521365266,25.8
