id,heating,macrozone,microzone,latitude,longitude,photo_count,price,sqm,n_rooms,n_bath,floor_num,has_elevator,feat_arredato,feat_balcone,feat_ascensore,feat_lavatrice,feat_aria_condizionata,feat_portineria,feat_terrazzo,feat_giardino,feat_lavastoviglie
127010063,Centralizzato,"Porta Venezia, Indipendenza",Indipendenza,45.4646,9.2147,10,1050,23,1,1,NA,NA,1,0,0,0,0,0,0,0,0
125320303,Autonomo,Centro,Carrobbio,45.4576,9.1841,10,866,20,1,1,NA,NA,1,0,0,0,1,0,0,0,0
125812275,Centralizzato,"Solari, Washington",Solari,45.455,9.1662,10,990,14,1,1,NA,NA,1,0,0,0,1,0,0,0,0
126042899,Autonomo,Centro,Carrobbio,45.4576,9.1841,10,844,14,1,1,NA,NA,1,0,0,0,1,0,0,0,0
125812273,Centralizzato,"Solari, Washington",Solari,45.455,9.1662,10,1040,14,1,1,NA,NA,1,0,0,0,1,0,0,0,0
127197717,Centralizzato,Navigli,Bocconi,45.4509,9.1927,10,1310,13,1,1,NA,NA,1,0,0,0,0,0,0,0,0
126038037,Autonomo,Centro,San Babila,45.4675,9.1983,10,1340,16,1,1,NA,NA,1,0,0,0,1,0,0,0,0
126039051,Autonomo,"Centrale, Repubblica",Repubblica,45.4779,9.2003,10,980,10,1,1,NA,NA,1,0,0,0,1,0,0,0,0
125812327,Centralizzato,"Cenisio, Sarpi, Isola",Cenisio,45.4882,9.1615,10,1040,16,1,1,NA,NA,1,0,0,0,1,0,0,0,0
126038053,Centralizzato,"Centrale, Repubblica",Buenos Aires,45.4809,9.2113,10,1040,18,1,1,NA,NA,1,0,0,0,1,0,0,0,0
125812329,Centralizzato,"Cenisio, Sarpi, Isola",Cenisio,45.4882,9.1615,10,890,10,1,1,NA,NA,1,0,0,0,1,0,0,0,0
125812281,Centralizzato,Navigli,Bocconi,45.4517,9.1929,10,990,10,1,1,NA,NA,1,0,0,0,1,0,0,0,0
126037973,Centralizzato,"Porta Venezia, Indipendenza",Porta Venezia,45.4733,9.2139,10,940,15,1,1,NA,NA,1,0,0,0,0,0,0,0,0
126042287,Autonomo,"Solari, Washington",Solari,45.4573,9.1693,10,990,25,1,1,NA,NA,1,0,0,0,0,0,0,0,0
127091469,Centralizzato,Navigli,Bocconi,45.4509,9.1927,10,1415,16,1,1,NA,NA,1,0,0,0,0,0,0,0,0
126038109,Centralizzato,"Centrale, Repubblica",Buenos Aires,45.4839,9.2149,10,1040,18,1,1,NA,NA,1,0,0,0,1,0,0,0,0
126037365,Centralizzato,"Ponte Lambro, Santa Giulia",Santa Giulia,45.4316,9.2472,10,880,21,1,1,NA,NA,1,0,0,0,0,0,0,0,0
125812313,Centralizzato,"Genova, Ticinese",Ticinese,45.4534,9.1838,10,990,14,1,1,NA,NA,1,0,0,0,1,0,0,0,0
125812311,Centralizzato,"Genova, Ticinese",Ticinese,45.4534,9.1838,10,1140,16,1,1,NA,NA,1,0,0,0,1,0,0,0,0
126038007,Autonomo,"Città Studi, Susa",Plebisciti - Susa,45.4684,9.2216,10,890,16,1,1,NA,NA,1,0,0,0,0,0,0,0,0
126037335,Centralizzato,"San Siro, Trenno",San Siro,45.4676,9.1357,10,850,13,1,1,NA,NA,1,0,0,0,0,0,0,0,0
125812279,Centralizzato,"Solari, Washington",Solari,45.455,9.1662,10,990,14,1,1,NA,NA,1,0,0,0,1,0,0,0,0
